order_id,order_date,customer,currency,amount,status
ORD-1001,2026-09-01,Northstar Studio,USD,1250.00,paid
ORD-1002,2026-09-02,Juniper Works,USD,840.00,paid
ORD-1003,2026-09-03,Atlas Coffee,USD,2190.00,paid
ORD-1004,2026-09-05,Kite & Co,USD,560.00,paid
ORD-1005,2026-09-07,Orbit Labs,USD,1475.00,paid
ORD-1006,2026-09-10,Pine Market,USD,920.00,paid
ORD-1006,2026-09-10,Pine Market,USD,920.00,paid
ORD-1007,not-a-date,Glasshouse,USD,650.00,paid
ORD-1008,2026-09-14,Field Notes,EUR,710.00,paid
ORD-1009,2026-09-16,Blue Finch,USD,-120.00,paid
